WJ,2/26/2018 3:39:30 PM,1,90,True,False
WJ,2/26/2018 3:40:01 PM,2,90,True,False
WJ,2/26/2018 3:40:27 PM,3,72,True,False
WJ,2/26/2018 3:40:58 PM,4,72,True,False
WJ,2/26/2018 3:41:10 PM,5,54,True,False
WJ,2/26/2018 3:41:25 PM,6,54,False,True
WJ,2/26/2018 3:41:39 PM,7,72,True,False
WJ,2/26/2018 3:41:51 PM,8,72,True,False
WJ,2/26/2018 3:42:03 PM,9,54,False,True
WJ,2/26/2018 3:42:23 PM,10,63,True,False
WJ,2/26/2018 3:42:33 PM,11,63,True,False
WJ,2/26/2018 3:42:55 PM,12,54,False,True
WJ,2/26/2018 3:43:18 PM,13,63,True,False
WJ,2/26/2018 3:43:33 PM,14,63,False,True
WJ,2/26/2018 3:43:48 PM,15,72,True,False
WJ,2/26/2018 3:44:05 PM,16,72,True,False
WJ,2/26/2018 3:45:13 PM,17,63,True,False
WJ,2/26/2018 3:45:23 PM,18,63,True,False
WJ,2/26/2018 3:45:32 PM,19,59,False,True
WJ,2/26/2018 3:45:53 PM,20,63,False,True
WJ,2/26/2018 3:46:01 PM,21,67,True,False
WJ,2/26/2018 3:46:11 PM,22,67,False,True
WJ,2/26/2018 3:46:20 PM,23,71,True,False
WJ,2/26/2018 3:46:30 PM,24,71,True,False
