0,489 255 319 255,489 255 319 255,1,5225
1,489 255 319 255,529 255 346 255,1,3342
2,407 255 264 255,407 255 264 255,0,2041
3,407 255 264 255,489 255 319 255,1,4280
4,364 255 236 255,447 255 291 255,0,3832
5,344 255 222 255,344 255 222 255,1,3394
6,364 255 236 255,407 255 264 255,0,2291
7,344 255 222 255,364 255 236 255,0,2247
8,407 255 264 255,447 255 291 255,1,4078
9,364 255 236 255,364 255 236 255,0,58222
10,489 255 319 255,509 255 332 255,1,7064
11,364 255 236 255,387 255 251 255,1,55100
12,344 255 222 255,427 255 277 255,0,2055
13,407 255 264 255,427 255 277 255,0,3787
14,344 255 222 255,387 255 251 255,0,2232
15,489 255 319 255,572 255 374 255,1,2150
16,407 255 264 255,427 255 277 255,1,3050
17,489 255 319 255,489 255 319 255,1,3821
18,344 255 222 255,427 255 277 255,0,58220
19,344 255 222 255,344 255 222 255,1,2256
20,489 255 319 255,572 255 374 255,1,2191
21,489 255 319 255,509 255 332 255,1,3418
22,407 255 264 255,407 255 264 255,0,3495
23,364 255 236 255,364 255 236 255,0,2255
24,407 255 264 255,489 255 319 255,0,1477
25,344 255 222 255,387 255 251 255,0,1572
26,364 255 236 255,407 255 264 255,0,2385
27,364 255 236 255,447 255 291 255,0,1488
28,489 255 319 255,529 255 346 255,0,1365
29,344 255 222 255,364 255 236 255,0,2347
30,364 255 236 255,387 255 251 255,0,1375
31,407 255 264 255,447 255 291 255,0,2435
