trial_no,baseline_angle,offset_angle,same,response_time
0,284 200 284 200,142 200 142 200,0,2472
1,355 200 355 200,0 200 0 200,0,2075
2,142 200 142 200,142 200 142 200,1,1700
3,355 200 355 200,213 200 213 200,0,1298
4,355 200 355 200,284 200 284 200,1,2180
5,284 200 284 200,0 200 0 200,0,2416
6,355 200 355 200,142 200 142 200,0,993
7,213 200 213 200,213 200 213 200,0,1470
8,213 200 213 200,284 200 284 200,0,1199
9,213 200 213 200,0 200 0 200,0,1264
10,142 200 142 200,213 200 213 200,0,1923
11,142 200 142 200,0 200 0 200,0,1684
12,284 200 284 200,213 200 213 200,1,2428
13,213 200 213 200,142 200 142 200,0,1678
14,142 200 142 200,284 200 284 200,0,1165
15,284 200 284 200,284 200 284 200,1,1566
